epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,9035.6,0.65057,0.48884,1.03142,0.92274,0.7966,0.86404,0.58453,1.08057,0.59031,1.32044,0.000339364,0.000339364,0.000339364
55,9202.27,0.64382,0.48487,1.03497,0.90913,0.79821,0.861,0.58943,1.10468,0.56969,1.33768,0.000332296,0.000332296,0.000332296
56,9369.2,0.64434,0.48278,1.03057,0.95017,0.77444,0.86936,0.58417,1.09769,0.55675,1.31415,0.000325227,0.000325227,0.000325227
57,9535.86,0.63304,0.46611,1.02498,0.92052,0.80019,0.8687,0.5893,1.09429,0.55677,1.33645,0.000318158,0.000318158,0.000318158
58,9702.42,0.63544,0.47131,1.02813,0.92166,0.79663,0.86782,0.58861,1.04975,0.55947,1.32019,0.00031109,0.00031109,0.00031109
59,9869.07,0.6225,0.45684,1.01924,0.91743,0.78584,0.85812,0.60054,1.01159,0.54723,1.28331,0.000304021,0.000304021,0.000304021
60,10036,0.61956,0.4571,1.01677,0.92565,0.79307,0.86465,0.58311,1.0707,0.57756,1.3349,0.000296953,0.000296953,0.000296953
61,10202.6,0.62058,0.45333,1.01928,0.90007,0.80685,0.86947,0.58814,1.06191,0.55852,1.29918,0.000289884,0.000289884,0.000289884
62,10369.3,0.61506,0.45009,1.01321,0.92535,0.78908,0.86781,0.58696,1.11366,0.5535,1.35013,0.000282815,0.000282815,0.000282815
63,10536,0.59807,0.43594,1.00195,0.94632,0.79303,0.87424,0.60037,1.03811,0.54751,1.30737,0.000275747,0.000275747,0.000275747
64,10702.6,0.59493,0.42859,0.99941,0.89797,0.82173,0.87429,0.61065,1.03373,0.5423,1.27129,0.000268678,0.000268678,0.000268678
65,10869.7,0.59762,0.43812,1.0068,0.93478,0.80257,0.87701,0.61047,1.0217,0.54596,1.28089,0.00026161,0.00026161,0.00026161
66,11036.4,0.58605,0.42661,0.99882,0.93956,0.80605,0.87794,0.61138,1.02322,0.53598,1.29472,0.000254541,0.000254541,0.000254541
67,11203.7,0.58194,0.4247,0.99335,0.89819,0.82613,0.86722,0.59948,1.04367,0.52343,1.3136,0.000247472,0.000247472,0.000247472
68,11370.4,0.57946,0.41955,0.99656,0.94165,0.80664,0.87326,0.61925,0.98177,0.53134,1.25272,0.000240404,0.000240404,0.000240404
69,11539.1,0.57741,0.42003,0.99804,0.93022,0.79779,0.86997,0.61462,0.99829,0.5307,1.28429,0.000233335,0.000233335,0.000233335
70,11705.7,0.56568,0.40991,0.98742,0.93965,0.8399,0.88567,0.6176,1.01971,0.49695,1.30671,0.000226267,0.000226267,0.000226267
71,11872.5,0.56025,0.4059,0.98398,0.92359,0.80543,0.87891,0.62646,0.98378,0.50814,1.27747,0.000219198,0.000219198,0.000219198
72,12039.4,0.56702,0.40273,0.98732,0.9519,0.80901,0.87949,0.63266,0.96089,0.50063,1.24671,0.000212129,0.000212129,0.000212129
73,12206.4,0.55917,0.39995,0.98043,0.92829,0.83156,0.88836,0.63317,0.94381,0.47457,1.22687,0.000205061,0.000205061,0.000205061
74,12373.5,0.54844,0.39082,0.97607,0.9332,0.8314,0.88605,0.6271,0.97483,0.48949,1.24211,0.000197992,0.000197992,0.000197992
75,12540.3,0.55125,0.38875,0.97526,0.93867,0.83075,0.88268,0.64132,0.95321,0.49903,1.23571,0.000190924,0.000190924,0.000190924
76,12707.2,0.53686,0.38507,0.97531,0.94632,0.82321,0.89184,0.63511,0.94025,0.48684,1.24113,0.000183855,0.000183855,0.000183855
77,12873.9,0.53683,0.3841,0.97146,0.95076,0.8139,0.88462,0.62772,0.94903,0.48078,1.24135,0.000176786,0.000176786,0.000176786
78,13040.6,0.53635,0.38666,0.97291,0.91524,0.81411,0.87825,0.62589,0.94893,0.49646,1.24493,0.000169718,0.000169718,0.000169718
79,13207,0.53149,0.37938,0.96598,0.95303,0.8245,0.8893,0.63837,0.95451,0.47561,1.257,0.000162649,0.000162649,0.000162649
80,13373.6,0.52715,0.37606,0.96241,0.92892,0.83661,0.88314,0.62753,0.95981,0.48352,1.25948,0.000155581,0.000155581,0.000155581
81,13540.2,0.51162,0.3686,0.95852,0.9405,0.82646,0.88788,0.63389,0.94322,0.49164,1.24074,0.000148512,0.000148512,0.000148512
